ID NurPenBatch SowID Nur2ADG_Adj Nur2ADG
1660 4D_D8 4D_960 0.258742275862069 0.343448275862069
1661 4D_D9 4D_685 0.28509275862069 0.37448275862069
1663 4D_D9 4D_860 0.419431931034483 0.504137931034483
1664 4D_D10 4D_837 0.142003103448276 0.0937931034482759
1665 4D_D9 4D_467 0.432535379310345 0.517241379310345
1666 4D_D7 4D_497 0.584949172413793 0.669655172413793
1667 4D_D6 4D_956 0.463713448275862 0.553103448275862
1668 4D_D11 4D_497 0.690135379310345 0.637241379310345
1669 4D_D10 4D_839 0.394747931034483 0.484137931034483
1670 4D_D8 4D_670 0.297362965517241 0.382068965517241
1671 4D_D4 4D_683 0.31612724137931 0.40551724137931
1672 4D_D2 4D_497 0.378742275862069 0.463448275862069
1673 4D_D8 4D_968 0.454604344827586 0.539310344827586
1674 4D_D7 4D_472 0.207851379310345 0.297241379310345
1675 4D_D6 4D_260 0.354747931034483 0.444137931034483
1676 4D_D6 4D_467 0.266328482758621 0.351034482758621
1677 4D_D11 4D_670 0.266328482758621 0.351034482758621
1678 4D_D4 4D_628 0.262334137931034 0.351724137931034
1679 4D_D8 4D_628 0.361644482758621 0.451034482758621
1680 4D_D10 4D_970 0.129920344827586 0.219310344827586
1681 4D_D5 4D_837 0.569230689655173 0.658620689655173
1682 4D_D7 4D_668 0.478742275862069 0.563448275862069
1803 5B_B9 5B_2701 0.366717517241379 0.328965517241379
1804 5B_D5 5B_2699 0.534447310344828 0.501379310344828
1805 5B_D6 5B_2578 0.457349517241379 0.428965517241379
1806 5B_D4 5B_2139 0.249763310344828 0.221379310344828
1807 5B_D6 5B_2693 0.41223475862069 0.37448275862069
1808 5B_B8 5B_2697 0.378039172413793 0.349655172413793
1809 5B_D3 5B_2693 0.193614068965517 0.155862068965517
1810 5B_D11 5B_2699 0.422723172413793 0.389655172413793
1811 5B_B2 5B_2139 0.489763310344828 0.461379310344828
1812 5B_D5 5B_1752 0.530309379310345 0.497241379310345
1813 5B_B8 5B_2357 0.43858524137931 0.40551724137931
1814 5B_B9 5B_2356 0.341200275862069 0.303448275862069
